key,description
h,move the cursor left
j,move the cursor down
k,move the cursor up
l,move the cursor right
b,move to the start of a word
B,move to the start of a token
w,move to the start of the next word
W,move to the start of the next token
e,move to the end of a word
E,move to the end of a token
0,jump to the beginning of the line
$,jump to the end of the line
^,jump to the first (non-blank) character of the line
Ctrl+b,move back one full screen
Ctrl+f,move forward one full screen
Ctrl+d,move forward 1/2 a screen
Ctrl+u,move back 1/2 a screen
Ctrl+e,move screen down one line (without moving the cursor)
Ctrl+y,move screen up one line (without moving the cursor)
Ctrl+o,move backward through the jump history
Ctrl+i,move forward through the jump history
H,move to the top of the screen
M,move to the middle of the screen
L,move to the bottom of the screen
i,switch to insert mode before the cursor
I,insert text at the beginning of the line
a,switch to insert mode after the cursor
A,insert text at the end of the line
o,open a new line below the current one
O,open a new line above the current one
ea,insert text at the end of the word
Esc,exit insert mode; switch to command mode
r,replace a single character (and return to command mode)
cc,replace an entire line (deletes the line and moves into insert mode)
C,replace from the cursor to the end of a line
cw,replace from the cursor to the end of a word
s,delete a character (and move into insert mode)
J,merge the line below to the current one with a space in between them
gJ,merge the line below to the current one with no space in between them
u,undo
Ctrl+r,redo
.,repeat last command
yy,copy (yank) entire line
#yy,copy the specified number of lines
dd,cut (delete) entire line
#dd,cut the specified number of lines
p,paste after the cursor
P,paste before the cursor
v,select text using character mode
V,select lines using line mode
Ctrl+v,select text using block mode
o,move from one end of the selected text to the other
aw,select a word
ab,select a block with ()
aB,select a block with {}
at,select a block with <>
ib,select inner block with ()
iB,select inner block with {}
it,select inner block with <>
y,yank (copy) the marked text
d,delete (cut) the marked text
p,paste the text after the cursor
u,change the market text to lowercase
U,change the market text to uppercase
*,jump to the next instance of the current word
#,jump to previous instance of the current word
/pattern,search forward for the specified pattern
?pattern,search backward for the specified pattern
n,repeat the search in the same direction
N,repeat the search in the opposite direction
qa,record macro a
q,stop recording macro
@a,run macro a
@@,run last macro again
2h,move the cursor two characters left
3h,move the cursor three characters left
5h,move the cursor five characters left
0,move the cursor left to the beginning of the line
0,move the cursor left to the first character of the line
^,move the cursor left to the first non-blank character of the line
Fx,move the cursor left to the previous occurrence of character 'x' on the current line
3Tx,move the cursor left to just before the third previous occurrence of character 'x' on the current line
3T x,move the cursor left to just after the third previous occurrence of character 'x' on the current line
3b,move the cursor left to the beginning of the third previous word
3b,"move the cursor left to the beginning of the third previous word, including punctuation"
3ge,move the cursor left to the end of the third previous word
3B,"move the cursor left to the beginning of the third previous WORD, including punctuation"
3ge,move the cursor left to the end of the third previous WORD
3(,move the cursor left to the beginning of the third previous sentence
3{,move the cursor left to the beginning of the third previous paragraph
3k0,move the cursor left to the beginning of the third previous line
2j,move the cursor down two lines
3j,move the cursor down three lines
5j,move the cursor down five lines
10j,move the cursor down ten lines
2k,move the cursor up two lines
3k,move the cursor up three lines
5k,move the cursor up five lines
10k,move the cursor up ten lines
gg,move the cursor to the beginning of the document
G,move the cursor to the end of the document
H,move the cursor to the top of the screen
M,move the cursor to the middle of the screen
L,move the cursor to the bottom of the screen
W,move the cursor to the beginning of the next word
e,move the cursor to the end of the current word
b,move the cursor to the beginning of the previous word
f<char>,move the cursor forward to the next occurrence of <char> on the current line
t<char>,move the cursor forward to just before the next occurrence of <char> on the current line
d3j,delete the next three lines
5cc,change (delete and start insert) the next five lines
3k,move the cursor up three words
k$,move the cursor up to the end of the line
k0,move the cursor up to the beginning of the line
k^,move the cursor up to the first non-blank character of the line
gg,move the cursor up to the beginning of the file
Ctrl+u,move the cursor up half a screen
<C-b>,move the cursor up one full screen
Ctrl+d,move the cursor down half a screen
<C-f>,move the cursor down one full screen
Ctrl+o,move the cursor to the previous cursor position
<C-i>,move the cursor to the next cursor position
Ctrl+e,scroll the screen down one line without moving the cursor
Ctrl+y,scroll the screen up one line without moving the cursor
Ctrl+f,scroll the screen down one full screen
Ctrl+b,scroll the screen up one full screen
Ctrl+d,scroll the screen down half a screen
Ctrl+u,scroll the screen up half a screen
ll,move the cursor two characters right
3l,move the cursor three characters right
W,move the cursor to the beginning of the next WORD
E,move the cursor to the end of the current WORD
B,move the cursor to the beginning of the previous WORD
f<char>,move the cursor to the next occurrence of <char> on the current line
t<char>,move the cursor to just before the next occurrence of <char> on the current line
F<char>,move the cursor to the previous occurrence of <char> on the current line
T<char>,move the cursor to just after the previous occurrence of <char> on the current line
0,move the cursor to the beginning of the current line
$,move the cursor to the end of the current line
^,move the cursor to the first non-blank character of the current line
gg,move the cursor to the beginning of the file
G,move the cursor to the end of the file
Ctrl+f,move the cursor one full screen down
Ctrl+b,move the cursor one full screen up
Ctrl+d,move the cursor half a screen down
Ctrl+u,move the cursor half a screen up
Ctrl+e,move the screen down one line
Ctrl+y,move the screen up one line
2b,move back two words
3B,move back three words
B,move to the start of a WORD
2B,move back two WORDS
3B,move back three WORDS
d2b,delete backward two words
d3b,delete backward three words
d2B,delete backward two WORDS
d3b,delete backward three WORDS
ciw,change inside word
diw,delete inside word
yiw,yank inside word
ciB,change inside block
di{,delete inside block
yiW,yank inside block
ciW,change inside WORD
diW,delete inside WORD
